water,phy,cdom,spm,wind,depth
0,0.09,1.87,0.66,8.5,13.06
0,0.01,0.05,0.04,11.47,18.87
0,0.02,0.08,6.46,8.96,4.29
0,0.11,0.28,0.18,4.5,15.09
0,0.75,0.6,0.02,7.74,7.89
0,2.65,0.11,0.09,4.58,11.02
0,0.01,0.27,16.3,8.58,13.97
0,0.13,2.36,0.46,4.72,10.89
0,0.11,0.01,8.43,5.39,19.16
0,1.8,0.08,1.07,6.29,5.97
0,4.93,0.01,0.02,13.4,11.15
0,0.01,1.9,5.69,8.9,8.68
0,0.24,0.09,23.98,7.5,6.02
0,0.04,0.31,0.73,7.44,6.67
0,1.52,0.52,0.04,5.27,3.26
0,0.01,1.14,0.08,6.49,18.61
0,0.05,0.09,0.7,7.51,15.92
0,0.04,0.14,0.15,6.8,5.22
0,1.46,1.24,28.47,3.9,7.09
0,0.02,0.56,1.13,5.94,15.46
0,0.14,1.1,0.6,6.07,19.77
0,0.03,0.69,0.89,6.46,10.88
0,0.38,2.22,12.34,5.64,3.48
0,0.66,1.09,0.33,16.24,18.47
0,2.97,1.39,0.11,8.83,12.09
0,2.39,0.02,1.52,4.28,19.21
0,2.38,0.11,3.14,5.81,7.92
0,0.04,0.04,2.31,4.53,18.89
0,0.43,1.49,0.14,7.98,1.39
0,4,1.26,0.05,6.12,0.16
0,3.64,0.02,0.75,5.63,15.62
0,0.19,0.02,20.64,8.28,19.02
0,0.63,1.74,0.06,9.06,19.14
0,0.03,0.51,2.42,5.41,8.73
0,3.44,0.6,0.05,3.68,10.34
0,0.25,0.13,0.57,6.75,18.32
0,0.02,0.05,1.4,9.52,11.67
0,0.01,0.02,3.08,6.04,0.95
0,6.81,0.01,0.65,5.42,17.06
0,2.09,0.08,0.64,2.74,13.39
0,0.2,0.02,0.16,5.92,5.08
0,0.13,0.78,0.01,5.81,13.44
0,0.03,0.92,0.02,3.47,4.32
0,0.23,1.45,1.44,5.84,16.01
0,0.39,0.01,15.61,4.38,15.21
0,0.02,1.28,0.04,4.79,6.13
0,2.28,0.5,0.22,3.88,2.88
0,0.03,0.01,25.8,5.85,13.76
0,2.31,0.05,0.87,7.26,7.47
0,0.38,0.11,2.55,8.13,10.32
0,0.02,1.49,0.05,8.54,6.57
0,0.03,0.15,0.01,5.46,13.49
0,0.07,1.97,0.63,3.8,3.26
0,0.01,0.08,0.95,5.26,0.51
0,1.79,2.2,0.04,8.54,11.5
0,0.72,2.47,2.6,7.79,7.12
0,0.79,1.39,9.64,3.45,10.7
0,1.87,0.05,0.45,6.28,1.85
0,1.35,0.07,0.07,6.02,8.26
0,1.72,0.04,1.17,6.44,0.27
0,0.47,0.09,0.33,12.6,8.27
0,0.05,0.02,1.47,3.39,18.33
0,0.03,0.5,18.97,5.92,15.11
0,0.05,0.02,9.46,8.18,15.7
0,0.23,1.13,1.12,12.13,4.37
0,0.07,2.16,11.51,5.87,4.08
0,0.05,0.13,0.36,12.43,1.73
0,0.05,0.61,19.76,4.97,19.42
0,0.15,1.47,0.24,7.71,16.37
0,0.08,0.02,25,5.74,8.68
0,0.09,0.13,0.24,6.61,6.35
0,0.12,0.19,0.02,8.56,14.37
0,0.14,0.08,0.74,7.68,13.59
0,0.3,0.34,0.03,10.88,16.49
0,0.04,0.37,0.93,5.63,7.61
0,4.7,0.75,0.01,4.4,8.54
0,3.05,0.23,1.47,7.02,1.66
0,0.22,0.25,1.02,6.03,8.36
0,2.18,0.12,0.4,6.75,13.31
0,0.1,0.03,1.78,9.88,2.13
0,0.17,1.18,0.58,11.34,8.83
0,1.76,0.17,4.92,3.96,17.76
0,0.99,0.02,2.66,3.39,18.23
0,0.21,0.05,0.51,10.57,2.46
0,0.05,2.4,1.54,5.12,9.87
0,0.11,0.43,0.05,4.85,4.98
0,1.01,0.04,4.19,6.91,13.26
0,0.04,0.02,4.91,6.22,3.18
0,5,0.09,0.07,4.1,7.44
0,0.14,1.56,0.49,8.95,10.46
0,5.91,0.08,0.06,5.54,7.81
0,0.09,0.14,0.01,10.24,13.08
0,2.18,0.07,0.02,12.26,11.09
0,0.12,0.07,8.14,10.59,19.79
0,0.04,1.47,3.24,6.66,16.86
0,1.64,0.84,0.03,6.35,16.13
0,1.7,1.35,0.02,7.53,3.18
0,0.01,1.04,16.88,4.12,3.91
0,2.36,0.04,0.03,7.73,12.67
0,0.33,0.65,1.43,3.42,14.89
0,0.15,1.32,0.67,7.27,5.95
0,0.87,0.02,0.33,5.31,12.28
0,4.16,0.15,0.77,6.18,6.39
0,3.07,0.01,0.65,8.81,15.43
0,2.81,0.07,0.26,6.6,11.02
0,1.89,0.02,0.09,6.22,14.56
0,0.77,1.31,0.82,7.75,0.63
0,0.02,0.14,0.06,5.13,11.8
0,0.33,0.03,0.92,6.12,11.4
0,0.43,0.32,1.55,7.7,7.42
0,0.02,0.22,0.02,5.79,16.31
0,2.06,0.02,4.68,4.42,9.44
0,2.23,0.08,9.47,5.71,11.06
0,3.3,0.52,0.01,6.6,8.41
0,2.26,0.24,0.23,8.25,1.86
0,0.77,1.02,4.98,7.21,3.92
0,1.38,0.09,0.1,6.8,13.7
0,1.65,0.09,7.78,5.62,15.48
0,6.5,0.74,1.17,4.86,13.1
0,0.01,1.94,5.31,7.19,9.27
0,0.22,0.48,0.01,7.21,4.28
0,3.98,0.76,1.59,9.16,13.22
0,0.05,2.07,0.82,6.35,10.32
0,0.01,0.47,0.19,6.35,10.19
0,0.36,0.04,0.12,7.21,8.19
0,1.43,0.01,0.02,5.06,7.62
0,1.25,0.03,0.09,6.7,9.47
0,0.05,1.49,0.09,6.87,19.83
0,0.46,0.03,0.05,7.09,1.16
0,0.22,1.15,0.11,7.29,9.03
0,0.04,0.03,0.07,8.11,6.35
0,0.03,0.33,0.02,9.72,2.88
0,0.15,1.58,0.02,3.21,17.11
0,3.03,1.46,0.04,5.58,14.43
0,0.44,0.65,0.05,6.44,9.58
0,6.88,0.6,0.03,5.21,12.23
0,2.48,0.03,8.39,5.07,5.45
0,4.2,0.01,0.02,7.04,5.64
0,1.15,0.05,2.93,3.59,0.71
0,0.05,0.06,0.12,6.76,9.24
0,0.01,0.44,2.05,4.63,18.71
0,0.31,1.01,0.02,5.55,17.04
0,3.3,0.95,0.13,5.99,11.65
0,0.04,0.41,5.79,9.64,6.7
0,0.78,0.04,0.69,8.32,16.97
0,0.25,0.01,9.55,8.08,3.68
0,1.08,0.19,7.35,6.05,5.94
0,1.86,0.05,1.12,6.5,6.32
0,0.01,0.25,7.25,7.08,13.98
0,0.07,0.7,0.4,7.43,8.04
0,0.84,0.1,21.95,4.06,8.24
0,2.27,0.09,5.88,4.83,17.19
0,0.06,0.02,0.61,5.43,8.22
0,3.88,0.73,0.05,10.2,1.7
0,0.12,0.92,14.02,8.13,3.75
0,0.02,0.45,0.06,5.32,15.47
0,3.23,0.19,0.07,5.69,11.42
0,0.33,1.23,2.1,6.84,10.14
0,0.19,0.8,0.07,10.36,1.41
0,0.6,0.01,12.72,7.53,11.87
0,0.55,0.04,7.02,6.24,5.87
0,5,0.06,1.5,6.8,7.57
0,6.29,0.12,9,4.55,9.7
0,0.01,0.44,3.07,5.38,4.03
0,0.2,0.08,0.05,12.05,2.05
0,2.08,0.08,0.01,6.83,5.23
0,2.44,1.82,0.66,5.59,19.72
0,4.64,2.03,9.44,6.63,6.29
0,2.79,0.67,7.35,3.61,2.2
0,0.47,0.55,2.82,4.97,16.04
0,0.02,0.03,0.18,5.44,16.65
0,3.5,0.13,0.02,5.28,17.4
0,0.05,2.06,0.27,4.98,18.53
0,0.06,1.02,19.53,5.4,11.36
0,0.03,1.2,0.52,5.2,2.24
0,3.83,0.57,0.71,7.58,17.04
0,1.28,1.11,6.34,6.06,11.7
0,0.83,0.04,3.08,4.61,19.62
0,4.21,0.63,0.26,5.8,5.14
0,0.28,0.19,0.01,5.87,8.72
0,0.19,0.06,6.31,4.92,12.21
0,0.9,0.02,7.49,7.76,7.54
0,6.45,0.11,0.97,5.36,12
0,0.28,1.56,3.17,5.01,8.18
0,0.02,0.06,2.73,9.7,19.84
0,2.67,1.23,2.06,8.65,3.52
0,2.21,0.13,1.4,7.35,5.54
0,1.77,0.55,0.2,5.97,4.9
0,0.23,1.12,0.12,5.65,3.51
0,1.04,0.05,20.29,7.56,19.26
0,0.12,0.17,17,5.91,19.41
0,6.73,0.44,0.03,4.65,9.7
0,0.08,0.02,3.25,2.65,14.42
0,6.58,0.28,0.54,5.38,19.65
0,0.78,0.11,0.98,8.8,1.13
0,0.02,2.38,14.3,5.62,1.14
0,0.06,1.21,9.33,5.86,1.49
0,0.02,1.48,0.02,10.98,16.15
0,0.07,0.92,0.71,5.2,9.84
0,0.02,0.65,0.63,8.9,1.52
0,0.01,0.67,0.05,5.53,12.53
0,4.29,1.44,0.06,11.49,8.62
0,0.32,0.84,0.02,4.81,5.17
0,0.03,0.02,8.15,8.85,10.13
0,0.86,0.15,0.46,4.66,0.24
0,2.56,2.04,0.06,5.16,14.53
0,0.08,0.07,0.49,5.26,3.3
0,0.41,0.02,0.38,6.44,12.21
0,0.03,0.06,0.29,5.5,1.15
0,0.82,0.04,0.75,6.18,13.12
0,0.1,0.06,4.65,4.72,13.25
0,0.01,0.18,3.39,2.67,7.92
0,0.04,0.26,29.22,14.26,12.27
0,0.03,2.09,0.33,7.25,3.07
0,2.37,0.03,0.15,5.74,11.15
0,0.13,0.63,8.38,5.35,0.26
0,4.24,1.52,0.35,5.34,5.88
0,0.33,2.41,0.01,10.95,16
0,0.01,0.35,0.33,5.36,8.75
0,1.42,0.09,0.56,3.25,5.75
0,0.31,1.34,1.41,10.18,12.27
0,2.07,1.99,18.9,7.53,16.88
0,4.84,0.01,0.43,6.33,3.95
0,0.25,0.06,0.89,9.89,15.56
0,5.01,0.09,0.28,3.21,15.54
0,0.02,0.18,0.29,11.8,10.09
0,0.03,0.17,0.18,9.21,15.82
0,5.02,0.01,4.53,9,19.46
0,2.9,0.04,0.01,6.62,14.16
0,0.61,1.05,0.06,3.58,3.66
0,0.11,0.11,0.25,7.51,1.2
0,0.78,0.57,1.16,6.03,13.17
0,0.77,0.08,2.42,10.01,19.39
0,4.05,1.86,1.79,3.58,10.86
0,0.11,0.04,0.49,6.09,19.69
0,2.01,0.05,0.05,5.24,5.63
0,1.76,1.37,0.02,5.93,4.74
0,0.07,0.03,2.99,7.16,18.08
0,0.07,0.09,0.1,4.85,8.09
0,0.29,0.08,19.41,5.77,2.56
0,0.37,0.15,2.69,7.02,7.28
0,0.06,2.45,1.31,9.17,2.54
0,0.11,1.4,0.16,4.66,11.43
0,0.02,0.09,2.71,5.2,1.98
0,1.85,0.37,0.17,5.9,12.77
0,0.02,1.1,0.36,5.09,6.97
0,0.33,1.07,1.88,4.78,1.55
0,2.62,0.27,9.11,8.43,15.65
0,0.08,0.06,0.1,5.69,5.07
0,2.55,0.06,0.07,5.21,6.88
0,0.24,0.36,3.22,5.25,2.37
0,0.16,0.99,0.65,9.99,10.53
0,1.46,0.02,0.68,5.62,16.97
0,0.03,1.3,3.13,8.47,19.81
0,0.04,0.19,0.22,8.79,13.74
0,1.03,0.03,0.45,5.56,18.91
0,1.52,0.17,0.23,4.92,19.58
0,0.23,0.12,0.68,4.58,8.26
0,0.12,0.7,13.68,8.4,6.21
0,0.04,0.15,2.95,6.15,1.3
0,5.04,0.68,1.64,4.46,12.18
0,1.81,0.98,8.99,4.68,11.29
0,2.68,0.04,14.58,13.36,10.57
0,0.39,0.86,1.82,12.35,15.74
0,0.01,0.01,0.03,7.8,3.45
0,0.11,0.25,13.48,4.64,4.74
0,0.24,1.1,24.78,6.95,9.24
0,0.12,0.03,1.79,7.1,1.42
0,2.26,0.02,0.03,5.97,7.15
0,1.7,0.31,3.27,6.43,12.18
0,0.01,0.22,0.03,7.49,14.13
0,0.05,0.11,8.21,10.99,2.82
0,2.89,0.01,1.42,3.18,17.11
0,0.17,1.78,0.52,8.73,18.08
0,6.19,0.24,3.31,11.7,5.01
0,1.14,0.03,17.87,8.44,14.28
0,0.04,0.87,1.13,5.93,5.82
0,2.02,0.07,0.07,8.06,8.31
0,5.22,0.45,1.09,5.75,15.13
0,0.74,0.02,0.08,5.45,19.31
0,0.29,0.01,0.72,4.41,12.09
0,2.67,0.02,0.03,10.3,18.21
0,0.01,0.22,0.01,6.21,18.9
0,0.26,2.01,0.24,9.04,12.51
0,0.05,0.22,1.35,9.2,18.94
0,0.02,1,8.28,10.15,9.41
0,0.28,0.04,0.06,5.75,5
0,2.06,0.16,6.1,3.67,1.83
0,6.05,0.07,3.15,9.71,14.55
0,0.07,1.42,0.13,8.6,15.4
0,0.03,0.07,0.14,8.94,11.75
0,0.28,0.39,0.27,4.73,6.75
0,0.43,0.07,0.06,7,2.6
0,0.17,0.09,0.69,4.75,13.63
0,0.25,0.08,0.14,8.06,4.52
0,0.1,0.02,25.02,11.83,14.2
0,0.43,0.04,0.01,4.3,18.42
0,0.02,0.05,4.29,4.89,18
0,2.86,0.02,1.91,8.49,5.51
0,0.08,0.38,3.05,6.15,2.48
0,0.02,0.23,0.12,4.68,15.67
0,1.1,0.03,0.87,5.28,9.36
0,0.15,0.01,0.01,5.93,9.11
0,2.7,0.06,0.32,4.45,7.07
0,1.79,0.57,12.22,4.81,3.03
0,1.88,0.06,0.35,5.41,16.82
0,0.02,0.08,6.26,7.69,8.26
0,1.15,0.98,4.83,4.44,17.83
0,0.07,0.03,0.31,4.61,1.54
0,0.13,0.09,0.02,9.09,19.06
0,3.85,0.01,0.01,4.56,15.62
0,0.01,0.04,5.21,6.69,17.69
0,0.71,0.01,0.08,5.55,7.61
0,0.16,0.38,0.03,4.24,9.74
0,0.01,0.29,0.59,5.96,13.1
0,2.31,0.69,0.42,6.8,12.57
0,0.08,0.3,0.03,5.1,8.11
0,4.38,1.16,1.76,6.3,3.57
0,0.02,0.4,4.5,4.21,8.95
0,0.2,0.03,0.01,10.67,9.37
0,0.09,0.18,2.43,5.61,6.11
0,0.62,0.06,1.28,8.84,14.86
0,0.02,0.02,0.14,5.26,4.51
0,0.14,0.11,10.53,7.53,12.52
0,5.88,0.16,1.04,7.82,10.69
0,0.68,0.04,18.92,3.44,19.5
0,1.56,0.03,0.54,4.94,19.66
0,1.93,0.59,1.55,5.91,18.15
0,2.83,0.02,0.3,4.08,3.33
0,0.12,1.24,0.01,7.81,7.48
0,0.08,1.22,0.06,8.13,2.98
0,0.56,0.11,7.97,8.25,17.56
0,0.56,0.12,6.76,7.48,10.47
0,2.2,1.28,14.88,5.24,4.08
0,1.86,0.19,0.22,5.05,5.36
0,2.52,0.21,0.02,5.59,17.22
0,0.55,0.56,0.18,6.85,15.85
0,4.86,1.86,3.66,7.35,5.97
0,0.96,1.7,0.67,11.55,3.33
0,0.07,1.99,7.45,7.84,17.63
0,1.15,0.48,1.13,5.79,17.6
0,0.17,0.1,13.7,6.11,15.11
0,0.04,0.79,16.1,7.39,8.93
0,0.2,0.07,0.22,3.69,0.78
0,0.03,0.02,0.47,4.78,12.37
0,0.02,0.16,14.84,9.48,0.38
0,0.01,0.27,7.01,10.59,4.81
0,2.61,2.19,0.15,5.91,14.88
0,0.05,0.53,18.85,6.78,15.01
0,0.37,2.3,1.24,4.81,9.79
0,2.91,0.01,1.52,6.63,8.88
0,0.03,0.18,0.2,8.35,16.89
0,0.01,0.16,0.11,3.97,8.42
0,0.06,0.24,6.25,5.92,15.23
0,0.38,0.27,7.1,6.19,10.96
0,0.16,0.01,0.34,7.22,3.67
0,0.51,0.11,12.79,6.84,8.13
0,0.09,0.09,0.62,3.49,14.59
0,0.07,1.19,0.21,7.57,10.83
0,1.86,0.09,0.57,6.38,19.22
0,1.04,0.06,0.03,4.52,0.71
0,0.55,1.75,0.15,7.44,7.6
0,0.03,1.38,0.1,5.42,1.77
0,0.71,2.35,0.98,5.09,5.74
0,0.98,2.04,1.35,9.07,7.43
0,2.7,0.43,8.86,6.6,6.32
0,2.33,0.02,0.21,7.52,18.06
0,2.35,0.07,0.89,13,18.93
0,0.45,0.06,0.08,8.55,11.92
0,0.65,0.02,0.06,7.53,0.4
0,0.33,0.15,0.02,10.12,0.67
0,1.18,1.26,0.05,3.99,2.27
0,5.41,1.96,0.76,4.81,12.94
0,0.45,0.12,0.79,7.72,3.79
0,6.83,0.05,1.93,4.72,15.46
0,1.01,0.09,0.08,6.63,10.26
0,0.28,0.89,0.05,6.17,5.19
0,0.02,0.05,0.92,5.12,0.66
0,1.42,0.05,27.6,6.04,6.02
0,0.12,1,0.21,6.67,7.75
0,0.05,0.02,4.86,7.28,2.21
0,3.81,0.99,0.02,7.5,17.23
0,0.22,0.02,0.02,9.19,9.89
0,0.1,0.13,0.02,9.57,4.02
0,0.14,0.65,0.12,7.4,5.85
0,0.01,0.1,2.6,6.63,9.82
0,4.3,0.34,0.02,5.48,11.47
0,3.86,0.26,0.02,11.67,15.84
0,0.06,0.06,7.59,7.28,12.39
0,2.54,0.75,0.23,8.23,5.83
0,3.49,0.14,2.52,5.56,5.83
0,0.52,2.08,2.62,5.45,8.51
0,1.73,0.36,8.1,8.47,11.51
0,0.23,0.16,16.44,6.12,12.87
0,5.32,0.01,0.01,3.39,1.52
0,3.21,0.3,0.03,9.08,11.99
0,0.14,0.07,0.93,9.71,7.88
0,2.6,0.15,0.72,3.54,11.48
0,0.02,1.05,0.12,3.58,8.31
0,0.41,0.04,0.21,4.68,15.05
0,0.08,0.15,3.28,6.57,19.77
0,0.55,0.02,0.11,5.36,17.65
0,1.41,0.93,1.27,5.12,11.22
0,4.58,0.2,4.49,7.35,18.94
0,4.94,0.02,0.01,8.33,12.93
0,0.13,0.07,10.73,11.8,13.98
0,0.1,0.43,6.71,6.71,14.6
0,0.24,0.07,0.05,6.57,9.59
0,0.4,0.7,5.02,7.92,4.11
0,3.47,0.31,0.01,4.85,14.99
0,0.04,0.02,0.79,4.36,8.98
0,0.57,0.06,0.04,4.69,16.97
0,0.09,0.07,1.07,14.38,18.75
0,0.02,0.05,0.26,8.98,4.63
0,1.65,0.04,0.1,5.35,1.77
0,1.1,0.57,1.9,9.37,14.21
0,1.07,0.06,0.04,7.63,1.58
0,1.77,1.11,0.16,7.14,6.45
0,3.89,0.04,28.44,7.1,9.33
0,0.41,0.91,0.19,5.27,18.57
0,3.28,0.01,0.05,8.08,3.5
0,1.45,1.1,0.71,7.05,13.26
0,0.08,0.11,0.01,5.43,1.93
0,2.3,0.37,0.21,9.04,7.93
0,2.24,0.04,2.28,6.55,18.97
0,0.1,0.06,0.63,7.44,1.21
0,0.16,0.4,0.02,7.69,13.91
0,0.81,0.57,19,4.58,11.97
0,6.77,1.58,0.12,9.48,10.92
0,0.2,0.05,0.08,7.44,7.45
0,0.03,2.21,0.01,8.08,11.15
0,0.05,0.68,1.48,4.44,11.25
0,2.35,0.01,0.25,3.21,9.79
0,0.04,0.02,0.4,10.39,2.78
0,3.65,2.45,0.67,10.47,12.35
0,0.19,2.33,0.21,13.3,16.21
0,0.36,0.05,0.06,6.55,3.75
0,0.92,0.22,0.3,5.27,2.67
0,0.61,0.18,0.76,6.03,17.68
0,1.65,0.02,0.24,9.68,7.35
0,0.02,0.72,22.27,6.09,0.79
0,3.49,0.53,29.62,5.66,8.4
0,0.05,0.02,13.62,5.74,10.67
0,0.04,0.12,0.23,10.38,14.81
0,0.2,1.64,23.43,8.2,3.43
0,0.19,0.62,9.63,6.57,1.98
0,0.03,0.62,0.08,3.31,13.86
0,0.02,0.62,10.92,3.47,11.05
0,3.46,0.04,8.37,8.48,17.34
0,1.7,0.02,10.16,4.67,12.29
0,0.21,2.21,0.35,5.73,3.6
0,0.03,0.88,0.33,7.55,10.88
0,0.01,0.05,0.02,6.48,8.46
0,0.21,0.56,0.48,3.56,17.69
0,0.07,0.23,0.08,6.37,14.95
0,6.2,0.04,0.01,4.77,11.02
0,0.01,2.01,0.31,9.27,4.38
0,0.06,0.42,0.17,4.55,4.84
0,0.08,1.57,13.43,4.3,7.1
0,1.03,0.09,24.93,8.49,5.64
0,0.48,0.02,0.07,7.93,17.33
0,2.49,0.02,0.66,3.42,10.61
0,0.16,0.28,0.08,4.1,2.34
0,0.24,0.07,21.62,6.25,7.37
0,0.03,1.54,0.14,12.51,3.76
0,0.02,1.06,0.11,7.35,14.44
0,0.01,0.02,7.33,7.48,5.32
0,1.3,0.01,21.55,9.12,18.32
0,0.1,0.17,0.06,6.31,11.75
0,6.38,0.75,27.43,6.92,17.84
0,0.63,2.06,0.01,3.64,1.37
0,0.03,0.19,12.81,5.85,19.89
0,0.06,0.26,2.06,7.32,18.95
0,0.01,1.99,0.48,4.05,7.87
0,0.36,0.05,0.06,8.28,16.48
0,0.08,0.07,25.86,7.09,6.07
0,1.86,1.51,1.14,4.86,2.73
0,0.85,0.82,4.17,5.59,6.77
0,0.48,2.06,0.07,7.66,9.91
0,0.04,0.07,0.01,4.85,15.68
0,0.01,0.03,9.11,6.14,18.87
0,0.04,0.05,0.27,6.31,1.96
0,0.04,1.24,2.07,6.68,19.02
0,1.38,0.03,6.53,5.64,15.04
0,5.96,0.25,4.01,5.98,18.68
0,0.39,0.26,2.88,4.04,16.25
0,2.36,0.03,0.15,4.42,10.81
0,0.69,0.24,0.03,8.75,2.21
0,0.02,0.06,1.35,2.42,14.95
0,1.7,1.7,4.02,3,14.65
0,1.5,0.24,0.15,6.7,2.02
0,1.51,0.61,18.41,6.41,1.59
0,1.42,0.16,10.67,6.67,1.16
0,2.15,0.11,0.02,6.95,16.92
0,1.3,0.02,5.35,6.68,11.55
0,0.1,0.94,0.03,7.54,6.82
0,0.09,0.08,7.51,7.81,15.9
0,0.48,0.02,0.34,3.49,14.42
0,0.02,1.31,0.07,10.4,10.04
0,0.07,0.12,0.09,7.56,15.2
0,0.5,0.91,2.67,2.89,5.76
0,0.02,0.03,2.12,6.12,1.19
0,0.24,0.07,7.41,8.91,13.88
0,0.08,0.05,0.8,7.81,10.46
0,0.1,0.61,0.03,6.64,4.28
